16087,1.04,0,1022,1008,992,989
16118,1.05,0,1023,1010,991,986
16151,1.04,1023,1023,1013,997,988
16186,1.05,1023,1022,1009,998,987
16222,1.05,1023,1023,1008,998,985
16257,1.05,1023,1023,1010,998,982
16292,1.05,1023,1023,1011,997,980
16327,1.05,1023,1023,1012,995,979
16363,1.05,1023,1023,1011,994,981
16398,1.05,1023,1022,1010,994,984
16434,1.05,1023,1023,1008,994,985
16468,1.05,1023,1023,1010,998,986
16504,1.05,1023,1023,1009,999,986
16539,1.05,1023,1023,1010,999,983
16575,1.05,1023,1022,1010,997,980
16610,1.05,1023,1021,1011,995,979
16646,1.05,1023,1023,1011,993,979
16681,1.05,1023,1023,1011,993,982
16716,1.05,1022,1023,1011,994,985
16752,1.05,1023,1023,1009,996,985
16787,1.05,1023,1023,1008,997,986
16823,1.05,1023,1022,1009,998,984
16858,1.05,1023,1022,1010,998,982
16893,1.05,1023,1023,1011,997,980
16928,1.05,1023,1023,1013,995,979
16964,1.05,1023,1023,1011,993,982
16999,1.05,1023,1023,1010,994,985
17035,1.05,1023,1023,1009,995,986
17070,1.05,1023,1023,1008,997,986
17105,1.05,1023,1023,1007,995,982
17140,1.05,0,1022,1006,997,987
17173,1.05,0,1022,1006,996,990
17205,0.98,0,1023,1007,995,991
17238,1.04,0,1023,1008,994,987
17269,1.04,0,1023,1009,994,988
17302,1.04,1022,1023,1012,997,990
17337,1.04,1023,1023,1009,998,988
17373,1.05,1023,1021,1008,998,985
17408,1.05,1023,1023,1010,998,981
17443,1.05,1023,1023,1011,997,980
17479,1.05,1023,1023,1011,994,979
17514,1.05,1023,1023,1012,994,981
17550,1.05,1023,1023,1011,993,984
17585,1.05,1023,1022,1008,995,985
17620,1.05,1023,1022,1008,997,986
17655,1.05,1023,1023,1008,998,985
17691,1.05,1023,1023,1010,999,982
17726,1.05,1022,1023,1012,999,981
17762,1.05,1023,1023,1011,995,979
17797,1.05,1023,1022,1011,993,980
17832,1.05,1023,1023,1011,993,983
17867,1.05,1023,1023,1010,995,985
17903,1.05,1023,1023,1008,997,986
17938,1.05,1023,1023,1008,998,986
17974,1.05,1023,1022,1009,998,983
18010,1.05,1023,1023,1010,998,981
18044,1.05,1023,1023,1011,996,979
18080,1.05,1023,1023,1012,994,979
18115,1.05,1023,1023,1012,993,982
18151,1.05,1023,1023,1010,994,984
18186,1.05,1023,1023,1008,995,985
18222,1.05,1023,1022,1008,997,985
18256,1.04,0,1023,1005,994,987
18289,1.04,0,1023,1006,992,988
18321,0.88,0,1023,1009,993,985
18354,1.03,0,1023,1009,993,985
18385,1.04,0,1022,1009,993,984
18418,1.04,0,1022,1009,993,982
18450,1.04,0,1023,1012,994,978
18483,1.04,1023,1023,1013,994,983
18518,1.05,1023,1023,1010,994,985
18553,1.04,1023,1023,1008,996,985
18588,1.04,1023,1023,1009,998,986
18624,1.05,1023,1023,1009,998,985
18659,1.05,1023,1023,1010,999,982
18695,1.05,1023,1022,1010,996,980
18729,1.05,1023,1023,1010,994,979
18765,1.05,1023,1023,1010,993,980
18800,1.04,1023,1023,1011,993,983
18836,1.04,1023,1023,1010,995,985
18871,1.04,1023,1023,1008,997,986
18907,1.04,1023,1022,1008,998,985
18942,1.04,1023,1023,1010,998,982
18977,1.04,1023,1023,1011,998,981
19013,1.05,1022,1023,1011,995,979
19048,1.04,1022,1023,1012,994,980
19084,1.04,1023,1022,1011,993,983
19119,1.05,1023,1023,1009,994,985
19154,1.05,1023,1023,1009,997,986
19189,1.04,1023,1023,1009,998,986
19225,1.04,1022,1023,1008,998,984
19260,1.04,1023,1023,1009,997,981
19296,1.04,1023,1023,1011,995,979
19331,1.05,1023,1023,1011,993,978
19366,1.05,1023,1023,1012,991,980
19401,1.05,0,1023,1012,991,976
19434,0.88,0,1023,1013,993,974
19466,1.03,0,1023,1013,995,974
19499,1.03,0,1023,1013,998,975
19530,1.03,0,1023,1012,1001,977
19564,1.04,0,1023,1012,1004,981
19597,1.04,1023,1023,1012,997,981
19633,1.04,1023,1022,1011,995,982
19667,1.04,1023,1022,1009,993,984
19703,1.04,1023,1023,1009,995,985
19738,1.04,1023,1023,1009,997,986
19774,1.04,1023,1023,1010,999,986
19810,1.04,1022,1023,1010,999,983
19845,1.05,1023,1021,1011,997,981
19880,1.04,1023,1022,1010,995,979
19915,1.04,1023,1023,1011,993,979
19951,1.05,1023,1023,1011,993,982
19986,1.04,1023,1023,1010,994,985
20022,1.05,1023,1023,1009,996,986
20057,1.05,1023,1022,1009,998,986
20092,1.04,1023,1023,1008,998,983
20127,1.04,1023,1023,1009,997,980
20163,1.04,1023,1023,1011,995,979
20198,1.04,1022,1023,1012,994,979
20234,1.05,1023,1022,1012,994,982
20269,1.05,1023,1022,1010,994,984
20304,1.04,1023,1023,1008,995,985
20340,1.04,1023,1023,1008,997,986
20375,1.05,1023,1023,1009,998,985
20411,1.04,1023,1023,1010,998,982
20446,1.05,1023,1022,1010,996,978
20482,1.04,0,1022,1008,997,979
20513,1.04,0,1023,1010,1000,980
20547,1.02,0,1023,1009,1000,981
20580,1.03,0,1023,1010,1001,982
20614,1.03,0,1023,1010,1002,983
20646,1.04,1023,1023,1013,1000,983
20683,1.04,1023,1023,1011,995,982
20718,1.04,1023,1023,1011,994,984
20754,1.04,1023,1023,1010,995,985
20789,1.04,1022,1023,1009,997,986
20825,1.04,1023,1022,1008,998,986
