0,0,0
1264445,511,525,507
1265446,514,522,508
1266448,514,521,506
1267448,513,521,506
1268450,514,523,505
1269451,512,521,507
1270453,510,522,504
1271453,516,522,506
1272455,516,522,505
1273456,512,522,506
1274457,515,525,508
1275458,515,523,507
1276460,514,524,506
1277461,515,520,507
1278461,514,523,507
1279463,515,524,506
1280464,515,523,503
1281466,508,523,505
1282466,516,522,506
1283468,512,523,506
1284469,513,522,508
1285470,514,524,505
1286471,515,521,506
1287473,514,522,505
1288474,512,520,507
1289475,516,523,507
1290476,516,524,506
1291478,511,522,505
1292478,511,520,505
1293479,513,524,506
1294481,514,522,508
1295482,516,525,508
1296483,514,523,507
1297484,515,521,506
1298486,511,522,507
1299486,515,523,505
1300488,512,525,503
1301489,515,523,505
1302491,513,522,504
1303491,511,521,505
1304493,513,521,505
1305494,516,522,506
1306496,513,522,507
1307496,513,522,504
1308497,515,522,507
1309499,513,522,505
1310499,513,521,504
1311501,512,524,505
1312502,512,523,505
1313504,512,524,504
1314504,511,522,506
1315506,516,526,505
1316507,513,523,507
1317509,516,522,507
1318509,514,522,507
1319511,510,524,506
1320512,513,525,504
1321512,508,521,505
1322514,513,521,506
1323515,514,522,505
1324517,513,522,508
1325517,514,524,507
1326519,515,521,506
1327520,515,523,507
1328521,514,523,507
1329522,511,523,503
1330524,515,524,505
1331525,513,524,505
1332526,512,523,505
1333527,514,521,506
1334529,515,522,507
1335530,512,521,507
1336530,515,525,505
1337532,513,525,508
1338533,511,522,508
1339534,512,523,506
1340535,515,521,504
1341537,516,521,504
1342538,511,524,505
1343539,511,522,504
1344540,516,523,506
1345542,515,522,508
1346542,513,521,506
1347544,516,522,506
1348545,513,522,505
1349547,514,521,505
1350547,512,524,502
1351548,514,524,505
1352550,512,521,507
1353551,511,520,507
1354552,515,524,508
1355553,516,523,508
1356555,513,525,507
1357555,512,523,506
1358557,515,522,503
1359558,511,523,504
1360560,512,523,505
1361560,512,522,503
1362562,515,521,505
1363563,516,523,506
1364563,515,522,506
1365565,515,522,505
1366566,515,523,507
1367568,515,525,505
1368568,516,523,505
1369570,512,521,505
1370571,514,520,506
1371573,511,523,504
1372573,515,522,505
1373575,512,525,506
1374576,516,522,506
1375577,513,522,506
1376578,513,522,507
1377580,515,525,506
1378581,512,525,506
1379581,515,519,505
1380583,512,524,505
1381584,513,520,506
1382585,513,524,506
1383586,514,521,508
1384588,514,521,507
1385589,515,522,506
1386590,512,522,505
1387591,515,523,506
1388593,515,525,504
1389594,513,523,504
1390595,516,522,504
1391596,514,524,503
1392598,515,520,508
1393598,512,524,507
1394599,512,525,505
1395601,515,520,508
1396602,514,523,508
1397603,512,523,508
1398604,512,522,504
1399606,512,523,503
1400606,517,521,504
1401608,516,523,505
1402609,515,524,506
1403611,514,521,507
1404611,511,524,507
1405613,514,525,507
1406614,515,520,505
1407616,515,522,506
1408616,512,522,505
1409617,512,522,505
1410619,515,522,506
1411619,516,524,506
1412621,514,522,506
1413622,514,522,505
1414624,512,523,507
1415624,515,522,508
1416626,513,523,507
1417627,514,522,505
1418628,513,521,505
1419629,512,523,505
1420631,512,526,504
1421632,514,525,505
1422632,513,522,508
1423634,512,523,506
1424635,514,525,506
1425637,511,524,507
1426637,514,523,506
1427639,512,522,504
1428640,514,523,503
1429641,511,525,504
1430642,516,524,504
1431644,512,522,507
1432645,514,524,507
1433646,515,524,508
1434647,513,521,505
1435649,514,524,506
1436649,516,522,506
1437650,513,523,505
1438652,514,524,504
1439653,514,523,505
1440654,512,525,505
1441655,516,524,508
1442657,512,524,506
1443658,514,521,505
1444659,515,521,505
1445660,513,524,507
1446662,515,525,506
1447662,512,525,504
1448664,516,522,504
1449665,515,521,504
1450667,517,522,504
1451667,513,524,506
1452668,515,520,507
1453670,515,523,508
1454671,516,524,506
1455672,515,521,508
1456673,513,522,505
1457675,515,524,505
1458675,515,524,506
1459677,515,523,505
1460678,513,521,504
1461680,513,525,507
1462680,511,525,507
1463682,512,524,506
1464683,516,525,507
1465683,511,521,506
1466685,513,521,507
1467686,516,521,505
1468688,511,522,506
1469688,515,523,505
1470690,515,523,504
1471691,512,523,507
1472693,512,522,508
1473693,515,520,505
1474695,514,521,505
1475696,515,521,505
1476697,513,522,505
1477698,514,522,504
1478700,512,523,503
1479701,512,524,504
1480701,512,525,506
1481703,513,525,506
1482704,514,523,506
1483705,515,522,504
1484706,514,521,508
1485708,512,523,506
1486709,515,524,505
1487710,512,520,504
1488711,513,521,503
1489713,514,521,503
1490714,515,523,506
1491715,516,524,507
1492716,512,525,507
1493718,516,521,507
1494718,514,521,508
1495719,513,521,505
1496721,513,521,504
1497722,515,523,505
1498723,514,525,503
